Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 21:00:23.432 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.432 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.448 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.448 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.466 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.466 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.481 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.481 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.499 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.499 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.516 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.516 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.531 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.03, dy=0.0
2026-07-29 21:00:23.532 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.03, Lines=-18
2026-07-29 21:00:23.548 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 21:00:23.548 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 21:00:23.566 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 21:00:23.566 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 21:00:23.582 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 21:00:23.582 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
2026-07-29 21:00:23.598 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.02, dy=0.0
2026-07-29 21:00:23.598 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.02, Lines=-12
